RowName,id,tableid,paiid
string,int,int,int
×¢ÊÍ,id,×ÀÃæid,×ÀÃæÔªËØid
1,1,11041001,11044001
2,2,11041002,11044002
3,3,11041003,11044003
4,4,11041004,11044004
5,5,11041005,11044003
6,6,11041006,11044006
7,7,11041007,11044004
8,8,11041008,11044004
9,9,11041009,11044003
10,10,11041010,11044003
11,11,11041011,11044002
12,12,11041012,11044003
13,13,11041013,11044003
14,14,11041014,11044002
15,15,11041015,11044006
16,16,11041016,11044002
17,17,11041017,11044007
18,18,11041018,11044001
19,19,11041019,11044004
20,20,11041020,11044003
21,21,11041021,11044006
22,22,11041022,11044002
23,23,11041023,11044007
24,24,11041024,11044003
25,25,11041025,11044007
26,26,11041026,11044003
27,27,11041027,11044009
28,28,11041028,11044004
29,29,11041029,11044001
30,30,11041030,11044004
31,31,11041031,11044005
32,32,11041032,11044004
33,33,11041033,11044003
34,34,11041034,11044003
35,35,11041035,11044007
36,36,11041036,11044007
37,37,11041037,11044002
38,38,11041038,11044003
39,39,11041039,11044003
40,40,11041040,11044002
41,41,11041041,11044002
42,42,11041042,11044003
43,43,11041043,11044002
44,45,11041045,11044003
